Index	ACLF1	ACLF2	ACLF3	ACLF4	ACLF5	ACLF6	ACLF7	ACLF8	ACLF10	ACLF11	ACLF12	ACLF14	ACLF15	CC1	CC2	CC3	CC4	CC5	CC6	CC7	CC8	CHB1	IT1	CHB2	CHB3	CHB4	CHB5	CHB6	CHB7	DC1	DC2	DC3	DC4	DC5	DC6	DC7	DC8	DC9	DC10	DC11	DC12	IT2	IT3
AA	2.73592427	0.927811072	0.780098958	4.75675745	3.85795514	0.64876966	1.12656668	1.5840684	0.968881612	0.626142634	1.87511336	1.86123915	1.64242894	3.26814093	1.80666667	4.34815563	4.13042916	4.01361422	4.42603955	2.47791545	5.18084253	3.1481407	5.98687683	3.21894164	6.36406815	2.82050971	3.97651702	1.97414888	2.73762638	2.25724806	2.91050671	2.04944888	3.15266332	4.64317124	2.9584489	0.797996352	6.92224129	3.42374759	0.77629602	1.9807992	2.70115774	1.17892045	4.6869856
BA	0.875764823	0.18649035	0.0133913021	1.97407503	2.1331951	0.041427448	0.417310362	0.363925472	0.19048262	0.0118365174	0.627904004	1.06747348	0.398718346	0.967711144	0.410605828	1.52052552	2.48825491	0.710355577	2.03903398	1.29749028	2.5559679	2.43217337	1.44047898	1.42962908	1.80492514	0.899281553	1.24427726	0.173194541	0.928278767	0.213793798	2.0154918	0.172561347	1.24643216	1.10401449	0.349563431	0.0472201668	2.18676067	1.40155347	0.0370557214	0.0882117882	0.221457308	0.341230237	1.19394033
PA	2.88445441	0.774807009	0.443921875	2.00275951	2.03935055	0.0565337392	0.986053545	1.40696274	0.551206549	0.0848669964	1.34575977	2.881919	0.917054264	1.73129435	0.642709611	1.12193279	0.963676319	2.21762786	2.32086714	1.68607872	2.00055165	0.864522613	2.06070137	0.515769041	2.99328859	2.78385922	1.35388012	0.383367246	1.49655031	1.7366615	2.74615002	0.933785536	1.34277136	0.722713399	1.54539034	0.0711917665	4.43433055	1.83572736	0.0609365672	0.0384962537	0.879850458	0.686442688	4.6964249
																																											
Index	CHB1	CHB2	CHB3	CHB4	CHB5	CHB6	CHB7	IT1	IT2	IT3	CC1	CC2	CC3	CC4	CC5	CC6	CC7	CC8	DC1	DC2	DC3	DC4	DC5	DC6	DC7	DC9	DC10	DC11	DC12	ACLF6	ACLF15	ACLF1	ACLF2	ACLF3	ACLF4	ACLF5	ACLF7	ACLF8	ACLF10	ACLF11	ACLF12	ACLF14	DC8
Eubacterium	0.001258591	0.009681125	0.00125806	0.001536349	0.019137756	1.16E-04	0.008147627	0.001761248	0.018030549	0.001089081	0.003693588	0.001921874	0.050919048	0.015543909	0.001228144	0.006110745	0.010323228	0.012524032	1.57E-04	0.002414993	1.33E-04	0.003262661	0.009180356	1.80E-04	6.04E-05	0.014092516	1.23E-04	9.38E-05	0.005798787	1.42E-05	0.007736862	4.18E-04	1.44E-04	1.52E-06	0.002104448	2.99E-04	5.20E-05	2.19E-04	4.41E-05	7.08E-05	6.41E-05	0.002229775	0.001801877
Clostridium	0.01396868	0.026363844	0.00826585	0.013854394	0.023041139	0.021748031	0.026254196	0.022168166	0.010128557	0.005644644	0.00954331	0.041643963	0.015993442	0.031301302	0.005105644	0.010706726	0.008262646	0.007672703	9.81E-04	0.005041169	0.002567213	0.01870625	0.025367916	0.00104303	6.78E-04	0.01236649	2.22E-04	0.005796415	0.001988649	8.51E-04	0.029113878	0.002119779	0.001768073	6.92E-04	0.021143831	0.003510903	0.001056289	0.006047003	3.18E-04	9.88E-04	0.001160867	0.004629778	0.005731465
Ruminococcus	0.00552806	0.019391707	0.004045329	0.007463618	0.012711743	4.48E-04	0.00432156	0.002942847	0.005669599	4.19E-04	0.005657285	0.006417831	0.006749337	0.015366217	0.00693793	0.009702341	0.001268612	0.007877729	0.004550527	0.003461246	5.01E-04	0.00682118	0.015927765	2.44E-04	9.45E-05	0.007123536	3.60E-05	8.00E-05	0.003529431	2.00E-04	0.010969789	0.001751477	2.44E-04	3.32E-05	0.007217873	0.001098892	8.14E-05	5.49E-04	8.83E-05	3.65E-05	5.02E-04	0.002678668	0.005179296
Blautia	0.004104353	0.009567072	9.39E-04	0.002329196	0.003433187	6.15E-04	0.011148144	0.003409946	0.004379548	6.83E-04	0.00320253	0.005712079	0.00617437	0.006154592	0.002147688	0.003575597	0.002423872	0.005180354	0.004542984	0.00356098	8.53E-04	0.002171782	0.006709294	3.00E-04	1.03E-04	0.006568601	4.67E-05	1.96E-04	0.001281543	5.48E-05	0.006432658	8.30E-04	5.11E-04	2.98E-05	0.003485047	0.001674794	1.57E-04	7.56E-04	7.18E-05	8.29E-05	7.25E-04	0.002302766	0.001621023
Sutterella	0.019701851	1.04E-04	0.008366149	1.20E-04	3.78E-04	2.60E-05	0.017211955	0.006267783	0.00866801	3.45E-04	0.001980828	0.006650586	0.002591209	1.50E-04	0.002783651	0.006210088	0.004302645	0.015948689	4.04E-05	4.36E-04	1.82E-05	0.003410453	0.006132992	0.012616906	1.52E-05	1.18E-04	2.18E-05	1.95E-04	1.64E-04	1.29E-05	1.59E-04	0.002806131	4.68E-05	6.55E-06	0.008556399	5.42E-05	4.76E-05	5.39E-05	4.14E-05	2.09E-05	4.50E-05	0.002727979	0.005809095
Collinsella	0.003887591	8.70E-04	6.09E-04	7.27E-04	8.14E-04	1.04E-04	3.12E-04	1.77E-04	2.50E-04	0.001283506	0.00103502	9.15E-04	0.001384211	7.34E-04	4.63E-04	0.001987014	6.29E-04	7.21E-04	4.40E-05	9.26E-04	4.35E-05	5.45E-04	0.001087847	2.14E-04	2.70E-05	6.78E-04	5.19E-06	3.14E-04	6.19E-04	7.01E-05	0.001042971	0.001274461	2.07E-04	4.62E-05	0.001987822	6.03E-04	3.57E-05	3.41E-04	4.19E-05	9.44E-05	1.91E-04	0.004655044	0.001596714
Dialister	3.56E-05	3.66E-05	0.004349558	2.66E-05	0.008662734	1.39E-04	1.13E-04	7.94E-06	1.26E-05	8.86E-04	4.54E-05	1.60E-05	9.72E-04	0.00302419	2.53E-05	4.59E-05	1.35E-05	0.005226611	0.003712049	0.008455452	2.87E-06	4.95E-04	3.06E-05	5.09E-06	4.05E-06	2.40E-05	1.05E-05	4.96E-05	2.17E-05	2.04E-05	1.46E-04	1.13E-05	1.09E-05	1.94E-05	1.51E-04	1.71E-05	0.001146101	1.32E-05	1.45E-06	4.87E-06	4.23E-06	1.17E-05	4.75E-05
